"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,1.4,0,2115.3,0,17.2,-100,0.8,2.47,0,0,222.8,20082.3,0,0
"2. F=Fsq",29.4,1.39,0.07,2087.5,0.02,15.7,0,0.79,2.42,0.01,0.6,213.4,20421.1,0,0.23
"3. F=Fmsy",366.3,1.17,1,1766,0.2,-2.2,1255.1,0.62,2.23,0.12,8.09,122.1,25535.6,0.01,3.09
"4. F=Fmsy_C_fractile_35",293.8,1.22,0.79,1835.8,0.16,1.7,966.5,0.67,2.22,0.1,6.37,139.2,24206.8,0.01,2.43
