"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,1.43,0,24609.9,0,14.3,-100,0.71,2.88,0,0,10.5,57724672.4,0,0
"2. F=Fsq",33.1,1.43,0.01,24579.1,0,14.1,0,0.71,2.88,0,22.18,10.4,58216864.7,0,3.76
"3. F=Fmsy",3974,1.22,1,20870.9,0.19,-3.1,12922.7,0.26,5.64,0,2891.32,2.4,178888845.9,0,490.1
"4. F=Fmsy_C_fractile_35",3103.1,1.26,0.77,21697,0.14,0.7,9877.9,0.36,4.49,0,2215.31,3.4,136727837.9,0,375.51
