"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,1.3,0,22726.1,0,19.6,-100,0.63,2.7,0,0,9.8,52598580.1,0,0
"2. F=Fsq",30,1.3,0.01,22697.1,0,19.4,0,0.63,2.7,0,19.58,9.7,53054705.1,0,3.66
"3. F=Fmsy",3728,1.09,1,19077.8,0.19,0.4,13458.6,0.22,5.36,0,2657.47,2.1,173561897.4,0,496.06
"4. F=Fmsy_C_fractile_35",2935.6,1.14,0.77,19858.8,0.15,4.5,10369.6,0.3,4.24,0,2052.02,3,131721789.3,0,383.04
