"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,0.42,0,232.4,0,28.2,-100,0.11,1.64,0,0,62.1,870.5,0,0
"2. F=Fsq",43.4,0.33,1.44,183.8,0.24,1.4,0,0.07,1.61,0.79,2.62,37,913.8,0.06,0.93
"3. F=Fmsy",31.1,0.36,1,197.5,0.16,8.9,-30.6,0.08,1.61,0.55,1.82,43.4,899,0.04,0.64
"4. F=Fmsy_C_fractile_35",18.7,0.38,0.58,211.5,0.1,16.6,-59.7,0.09,1.62,0.32,1.06,50.5,886.2,0.02,0.37
