"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,0.44,0,836.7,0,4.1,-100,0.25,0.78,0,0,408.7,1712.9,0,0
"2. F=Fsq",31.3,0.42,1.44,804.7,0.04,0.2,0,0.16,1.11,0.24,8.55,241.5,2681.8,0.01,0.29
"3. F=Fmsy",21.9,0.43,1,814.3,0.03,1.3,-30.5,0.21,0.87,0.05,18.24,501.4,1322.5,0.01,0.14
"4. F=Fmsy_C_fractile_35",14.2,0.43,0.65,822.1,0.02,2.3,-55,0.02,7.69,0.04,10.6,193.7,3490.1,0,0.2
