"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,0.24,0,183.8,0,21.7,-100,0.1,0.54,0,0,57.6,586.2,0,0
"2. F=Fsq",36.5,0.19,1.85,143.5,0.25,-5,0,0.06,0.54,0.6,5.69,32.1,642.3,0.05,1.32
"3. F=Fmsy",20.8,0.21,1,160.8,0.13,6.5,-46,0.08,0.53,0.33,3.07,42.2,613.3,0.03,0.71
"4. F=Fmsy_C_fractile_35",7.1,0.23,0.33,176,0.04,16.5,-82.4,0.1,0.54,0.11,1,52.1,594.1,0.01,0.23
