"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,0.24,0,178.9,0,22.5,-100,0.1,0.54,0,0,55.8,573.7,0,0
"2. F=Fsq",36.5,0.18,1.86,138.5,0.26,-5.2,0,0.06,0.54,0.64,5.44,30.5,628.5,0.05,1.33
"3. F=Fmsy",20.7,0.21,1,156,0.14,6.8,-46.4,0.08,0.53,0.34,2.92,40.5,599.9,0.03,0.71
"4. F=Fmsy_C_fractile_35",7,0.23,0.32,171.1,0.04,17.1,-82.6,0.1,0.53,0.11,0.95,50.4,581.3,0.01,0.23
