"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,0.23,0,170.3,0,23.2,-100,0.1,0.55,0,0,52.3,554.7,0,0
"2. F=Fsq",34.5,0.18,1.85,131.9,0.26,-4.5,0,0.06,0.56,0.57,6.01,27.9,623.5,0.04,1.51
"3. F=Fmsy",19.7,0.2,1,148.3,0.14,7.3,-45.9,0.07,0.55,0.31,3.26,37.4,588,0.02,0.82
"4. F=Fmsy_C_fractile_35",6.4,0.22,0.31,163.1,0.04,18.1,-83.2,0.09,0.55,0.1,1.01,47.2,564,0.01,0.25
