"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,1.38,0,375.2,0,36.3,-100,0.31,6.09,0,0,73.1,1924.6,0,0
"2. F=Fsq",30.5,1.29,0.11,350.8,0.1,27.5,0,0.29,5.7,0.02,0.6,65.7,1873.2,0.02,0.61
"3. F=Fmsy",212.2,0.75,1,203.8,0.9,-25.9,832,0.13,4.37,0.18,5.55,23.3,1780.2,0.14,5.71
"4. F=Fmsy_C_fractile_35",164.2,0.89,0.71,243.2,0.63,-11.6,557.1,0.18,4.56,0.13,3.91,33.5,1766.7,0.1,4.03
