"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,1.77,0,961.4,0,21.5,-100,1.08,2.91,0,0,579.2,1595.8,0,0
"2. F=Fsq",29.8,1.72,0.09,935.6,0.03,18.2,0,1.04,2.85,0.02,0.44,561.7,1558.3,0.01,0.18
"3. F=Fmsy",298.4,1.29,1,698,0.4,-11.8,1061,0.64,2.57,0.19,5.14,347.2,1403.4,0.08,2.04
"4. F=Fmsy_C_fractile_35",234.6,1.39,0.76,755.3,0.3,-4.6,777.6,0.75,2.59,0.15,3.89,403.9,1412.5,0.06,1.54
