"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,1.74,0,1336.5,0,15,-100,1.08,2.81,0,0,828.3,2156.4,0,0
"2. F=Fsq",33.2,1.71,0.09,1307.4,0.03,12.5,0,1.06,2.76,0.02,0.31,807,2118.3,0.01,0.1
"3. F=Fmsy",341.4,1.35,1,1033.5,0.31,-11.1,1058.4,0.74,2.45,0.28,3.56,568.8,1878,0.09,1.11
"4. F=Fmsy_C_fractile_35",278.7,1.42,0.8,1089.8,0.25,-6.2,821.4,0.81,2.49,0.22,2.83,621.5,1911.3,0.07,0.88
