"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,1.71,0,1272.2,0,17.2,-100,1.06,2.76,0,0,799.1,2025.4,0,0
"2. F=Fsq",32.1,1.67,0.09,1243.9,0.03,14.5,0,1.03,2.7,0.02,0.3,779.4,1985.1,0.01,0.1
"3. F=Fmsy",330.4,1.31,1,976.6,0.32,-10.1,1061.5,0.73,2.34,0.29,3.48,552.7,1725.5,0.09,1.11
"4. F=Fmsy_C_fractile_35",270.3,1.38,0.8,1031,0.25,-5.1,825.2,0.8,2.39,0.23,2.77,603.3,1762.1,0.07,0.89
