"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,0.38,0,804.9,0,3.6,-100,0.08,1.87,0,0,54,11994,0,0
"2. F=Fsq",31.3,0.37,1.68,773.1,0.04,-0.5,0,0.07,2.01,0.14,20.07,46,12986.6,0,1.19
"3. F=Fmsy",18.8,0.37,1,785.8,0.02,1.1,-40.5,0.07,1.95,0.08,11.93,49.1,12573.2,0,0.71
"4. F=Fmsy_C_fractile_35",10.5,0.38,0.56,794.2,0.01,2.2,-66.8,0.07,1.92,0.05,6.67,51.2,12313.9,0,0.39
