"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,0.27,0,216.1,0,20.8,-100,0.11,0.67,0,0,60.8,768,0,0
"2. F=Fsq",37.8,0.22,1.65,174.6,0.21,-2.4,0,0.07,0.69,0.53,5.2,35.9,850.3,0.04,1.24
"3. F=Fmsy",23.8,0.24,1,190,0.13,6.2,-39.5,0.09,0.68,0.32,3.14,44.3,814.4,0.02,0.75
"4. F=Fmsy_C_fractile_35",9.4,0.26,0.38,205.8,0.05,15,-77,0.1,0.67,0.12,1.2,54,784.4,0.01,0.29
