"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,0.32,0,198.4,0,29.8,-100,0.07,1.43,0,0,56.8,692.5,0,0
"2. F=Fsq",40.4,0.25,1.57,152.7,0.26,-0.1,0,0.04,1.38,0.96,2.59,32.4,718.4,0.07,0.99
"3. F=Fmsy",26.8,0.27,1,168,0.17,9.9,-36.5,0.05,1.39,0.61,1.64,39.9,707.2,0.04,0.63
"4. F=Fmsy_C_fractile_35",12.2,0.3,0.43,184.6,0.07,20.8,-72.4,0.06,1.41,0.26,0.71,48.8,698.1,0.02,0.27
