"","est.C","est.B.Bmsy","est.F.Fmsy","est.B","est.F","est.perc.dB","est.perc.dF","unc.B.Bmsy.lo","unc.B.Bmsy.hi","unc.F.Fmsy.lo","unc.F.Fmsy.hi","unc.B.lo","unc.B.hi","unc.F.lo","unc.F.hi"
"1. F=0",0,0.25,0,176.8,0,24.1,-100,0.1,0.66,0,0,47.9,652.5,0,0
"2. F=Fsq",34.2,0.2,1.73,138.6,0.24,-2.7,0,0.06,0.68,0.53,5.61,25.6,751.5,0.04,1.6
"3. F=Fmsy",20.8,0.22,1,153.6,0.14,7.9,-42.3,0.07,0.66,0.31,3.24,33.5,705,0.02,0.92
"4. F=Fmsy_C_fractile_35",7.3,0.24,0.33,168.7,0.05,18.4,-80.7,0.09,0.66,0.1,1.08,42.6,668.6,0.01,0.31
